category_id,product_name,image_path,status,source_url,note
CAT010,Tã Bobby quần size M 68 miếng,products/ta_bobby_quan_size_m_68_mieng.png,DOWNLOADED,https://shopee.vn/Tã-Quần-Dán-Bobby-Đủ-size-(NB108-NB70-S80-M76-L68-XL62-XXL56)-Cộng-miếng-Mẫu-mới-ngừa-hâm-chống-tràn-tốt-i.7394079.177283663,"score=91; query=""Tã Bobby quần size M 68 miếng"" ảnh sản phẩm; title=Tã Quần/ Dán Bobby Đủ size (NB108, NB70, S80, M76,L68,XL62,XXL56)- Cộng ...; reasons=+token:bobby;+token:quan;+brand:bobby;+brand:quan;+trusted:shopee.vn;+mid_token_ratio"
CAT010,Khăn ướt Mamamy 100 tờ,products/khan_uot_mamamy_100_to.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT010,Sữa tắm gội Johnson Baby 500ml,products/sua_tam_goi_johnson_baby_500ml.png,DOWNLOADED,https://shopee.vn/Sữa-Tắm-Gội-Toàn-Thân-Johnson's-TOP-TO-TOE-Baby-Bath-For-Hair-And-Body-500ML-(Vàng)-i.258099521.26967569685,"score=146; query=""Sữa tắm gội Johnson Baby 500ml"" chính hãng; title=Sữa Tắm Gội Toàn Thân Johnson's TOP TO TOE Baby Bath For Hair And Body ...; reasons=+token:sua;+token:tam;+token:johnson;+token:baby;+token:500ml;+brand:sua;+brand:tam;+brand:johnson;+trusted:shopee.vn;+high_token_ratio"
CAT010,Phấn rôm Johnson Baby 200g,products/phan_rom_johnson_baby_200g.png,DOWNLOADED,https://mariejapan.vn/phan-rom-johnson-s-baby-poder-xanh-original-100g,"score=146; query=""Phấn rôm Johnson Baby 200g"" ảnh sản phẩm; title=Phấn Rôm Johnsons Baby Powder - XANH ORIGINAL Chai 200g; reasons=+token:phan;+token:rom;+token:johnson;+token:baby;+token:200g;+brand:phan;+brand:rom;+brand:johnson;+trusted:bizweb.dktcdn.net;+high_token_ratio"
CAT010,Bình sữa Pigeon 240ml,products/binh_sua_pigeon_240ml.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT010,Nước giặt Dnee hồng 3L,products/nuoc_giat_dnee_hong_3l.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT010,Kem chống hăm Bepanthen 30g,products/kem_chong_ham_bepanthen_30g.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT010,Bột ăn dặm Heinz rau củ 200g,products/bot_an_dam_heinz_rau_cu_200g.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT011,Tập Campus 200 trang,products/tap_campus_200_trang.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT011,Bút bi Thiên Long TL-027,products/but_bi_thien_long_tl_027.png,DOWNLOADED,https://trungtamsach.vn/retails/sach/132866,"score=113; query=""Bút bi Thiên Long TL-027"" bách hóa xanh; title=Bút Bi Thiên Long TL-027 (xanh); reasons=+token:but;+token:thien;+token:long;+brand:but;+brand:thien;+brand:long;+trusted:product.hstatic.net;+mid_token_ratio"
CAT011,Giấy note Pronoti 3x3,products/giay_note_pronoti_3x3.png,DOWNLOADED,https://shopee.vn/Giấy-Note-3x3-Pronoti-i.532118794.10150188099,"score=136; query=""Giấy note Pronoti 3x3"" bách hóa xanh; title=Giấy Note 3x3 Pronoti | Shopee Việt Nam; reasons=+token:giay;+token:note;+token:pronoti;+token:3x3;+brand:giay;+brand:note;+brand:pronoti;+trusted:shopee.vn;+high_token_ratio"
CAT011,Bìa hồ sơ A4 Plus,products/bia_ho_so_a4_plus.png,REJECT,https://shopee.vn/Bìa-lá-A4-Plus-file-lá-đựng-hồ-sơ-văn-phòng-phẩm-i.949034448.23822177473,"Điểm thấp, không lưu để tránh sai ảnh. score=44; query=""Bìa hồ sơ A4 Plus"" ảnh sản phẩm; title=Bìa lá A4 Plus file lá đựng hồ sơ văn phòng phẩm | Shopee Việt Nam; reasons=+token:bia;+token:plus;+brand:bia;+brand:plus;+trusted:shopee.vn;-low_token_ratio"
CAT011,Băng keo trong 5cm,products/bang_keo_trong_5cm.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT011,Kéo học sinh Deli 17cm,products/keo_hoc_sinh_deli_17cm.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT011,Bút highlight Stabilo vàng,products/but_highlight_stabilo_vang.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
